—сылка на eBay маназин;Ќазвание товара;÷ена;Ќаличие на складе;ƒата доставки;Ѕренд;ћодель;—сылка на соответствующий товар на Amazon;÷ена на Amazon;јсин
https://www.ebay.com/itm/284878622147?hash=item425416cdc3:g:aKcAAOSwCDBjYTgx;WX081L WORX 4V ZipSnip Cordless Electric Scissors w/ Self Sharpening Blade - SR;US $26.40;Limited quantity available;Estimated between Wed, Feb 1 and Mon, Feb 6;WORX;WX081L;"https://www.amazon.com/WORX-WX081L-ZipSnip-Cutting-Tool/dp/B019CSHSW8/ref=sr_1_2?keywords=WORX+WX081L+845534014143&qid=1674835938&sr=8-2
https://www.amazon.com/WX081L-ZipSnip-Cutting-WX255L-Driver/dp/B08FD1DSQ6/ref=sr_1_3?keywords=WORX+WX081L+845534014143&qid=1674835938&sr=8-3
";"$44.83
$89.73
";"B019CSHSW8
B08FD1DSQ6
"
https://www.ebay.com/itm/284745609907?epid=3043935097&hash=item424c2932b3:g:wM4AAOSwmkpjZBMx;WX840L WORX Nitro 20V Power Share Cordless 18 Gauge Nail and Staple Gun - SR;US $119.40;5 available;Estimated between Wed, Feb 1 and Tue, Feb 7;WORX;WX840L;"https://www.amazon.com/WORX-WX840L-Power-Share-Staple/dp/B08D7JKFWZ/ref=sr_1_1?keywords=WORX+WX840L+845534019353&qid=1674835942&sr=8-1
";"$169.27
";"B08D7JKFWZ
"
https://www.ebay.com/itm/393852808704?epid=16019365749&hash=item5bb374ee00:g:kwoAAOSwGtRXxevi;WX051 WORX Pegasus Folding Work Table & Sawhorse - CR;US $134.70;Limited quantity available;Estimated between Wed, Feb 1 and Sat, Feb 4;WORX;WX051;"https://www.amazon.com/WORX-Pegasus-Multi-Function-Sawhorse-Holding/dp/B095RBTY53/ref=sr_1_1?keywords=WORX+WX051+845534015836&qid=1674835938&sr=8-1
https://www.amazon.com/WORX-Pegasus-Multi-Function-Sawhorse-Holding/dp/B07Z8P89BT/ref=sr_1_2?keywords=WORX+WX051+845534015836&qid=1674835938&sr=8-2
https://www.amazon.com/WORX-Pegasus-Multi-Function-Sawhorse-Holding/dp/B07Z8P7H6Z/ref=sr_1_3?keywords=WORX+WX051+845534015836&qid=1674835938&sr=8-3
https://www.amazon.com/Pegasus-Multi-Function-Sawhorse-Clamps-Holding/dp/B01HREBZ3M/ref=sr_1_4?keywords=WORX+WX051+845534015836&qid=1674835938&sr=8-4
https://www.amazon.com/WORX-Pegasus-Multi-Function-Sawhorse-Holding/dp/B07Z8P9P6R/ref=sr_1_5?keywords=WORX+WX051+845534015836&qid=1674835938&sr=8-5
https://www.amazon.com/Worx-Clamping-Sawhorses-Pegasus-Table/dp/B08P6KP94C/ref=sr_1_6?keywords=WORX+WX051+845534015836&qid=1674835938&sr=8-6
https://www.amazon.com/Worx-Pegasus-Drill-Kit-Cordless/dp/B0B5FP8N3V/ref=sr_1_7?keywords=WORX+WX051+845534015836&qid=1674835938&sr=8-7
";"$150.33
$212.44
$223.55
$140.35
$220.34
$219.29
$180.19
";"B095RBTY53
B07Z8P89BT
B07Z8P7H6Z
B01HREBZ3M
B07Z8P9P6R
B08P6KP94C
B0B5FP8N3V
"
https://www.ebay.com/itm/281493688144?epid=877405920&hash=item418a54cf50:g:RlYAAOSw8EljdizO;WORX WG509 TRIVAC 3-In-1 Electric Leaf Blower/Mulcher/Vacuum with Metal Blade -;US $59.40;Limited quantity available;Estimated between Wed, Feb 1 and Tue, Feb 7;WORX;WG509;"https://www.amazon.com/WORX-WG509-Electric-Multi-Stage-Mulching/dp/B00MN4YCKK/ref=sr_1_1?keywords=WORX+WG509&qid=1674835939&sr=8-1
";"$99.98
";"B00MN4YCKK
"
https://www.ebay.com/itm/254932683883?epid=2310233716&hash=item3b5b2c0c6b:g:gfwAAOSwNNJjYagr;WORX WX030L 20V Vacuum, Portable, Powershare & Compact - SR;US $71.40;Limited quantity available;Estimated between Wed, Feb 1 and Mon, Feb 6;WORX;WX030L;"https://www.amazon.com/WX030L-Power-Portable-Vacuum-Cleaner/dp/B085T48S7K/ref=sr_1_1?keywords=WORX+WX030L+0845534021301&qid=1674835941&sr=8-1
";"$103.15
";"B085T48S7K
"
https://www.ebay.com/itm/283967866035?epid=3028110114&hash=item421dcdc4b3:g:loQAAOSwZrZjhYb8;WORX WGBAG500 TriVac Leaf Collection Replacement Bag for WG500, WG505, WG509;US $21.99;Limited quantity available;Estimated between Wed, Feb 1 and Mon, Feb 6;WORX;50026858;"https://www.amazon.com/WORX-50026858-Trivac-Collection-Blower/dp/B07611WLT9/ref=sr_1_1?keywords=WORX+50026858&qid=1674835938&sr=8-1
https://www.amazon.com/WORX-Blower-Mulcher-50026858-Collection/dp/B08SXQRT57/ref=sr_1_2?keywords=WORX+50026858&qid=1674835938&sr=8-2
";"$40.95
$130.94
";"B07611WLT9
B08SXQRT57
"
https://www.ebay.com/itm/394040787099?epid=19048821868&hash=item5bbea9409b:g:SO0AAOSwtr9gt88F;"WG324 WORX 20V Power Share 5"" Cordless Pruning Saw - SR";US $95.40;More than 10 available;Estimated between Wed, Feb 1 and Mon, Feb 6;WORX;WG324;"https://www.amazon.com/WORX-Cordless-Pruning-Included-Chainsaws/dp/B0BD4347F7/ref=sr_1_1?keywords=WORX+WG324+845534023848&qid=1674835938&sr=8-1
";"$127.98
";"B0BD4347F7
"
https://www.ebay.com/itm/282185473756?epid=1500179464&hash=item41b3909edc:g:-bwAAOSw1HxjYTZx;"WORX WG303.1 14.5 Amp 16"" Electric Chainsaw with Auto-Tension";US $71.40;More than 10 available;Estimated between Wed, Feb 1 and Tue, Feb 7;WORX;WG3031;"https://www.amazon.com/10-inch-Electric-Chainsaw-Auto-Tension-WG303-1/dp/B08YGMF7HQ/ref=sr_1_4?keywords=WORX+WG3031&qid=1674835942&sr=8-4
https://www.amazon.com/WORX-WG303-1-Electric-Chainsaw-AdvanceCut/dp/B0BMKBBWSP/ref=sr_1_7?keywords=WORX+WG3031&qid=1674835942&sr=8-7
";"$198.99
$115.98
";"B08YGMF7HQ
B0BMKBBWSP
"
https://www.ebay.com/itm/254636749047?epid=20054450948&hash=item3b498870f7:g:JxoAAOSwIcZjYTZ2;WORX WA3578 20V MaxLithium 4.0 Ah Battery for Trimmer, Hedge Trimmer, Blower SR;US $59.40;Limited quantity available;Estimated between Wed, Feb 1 and Tue, Feb 7;Worx;WA3578;"https://www.amazon.com/WORX-WA3578-Power-Battery-Orange/dp/B01N43NDL8/ref=sr_1_1?keywords=Worx+WA3578&qid=1674835940&sr=8-1
https://www.amazon.com/Kotoate-WA3578-Replacement-PowerShare-Cordless/dp/B09SCZRWPK/ref=sr_1_4?keywords=Worx+WA3578&qid=1674835940&sr=8-4
https://www.amazon.com/Lasica-Upgraded-WA3578-Compatible-Replacement/dp/B07S23KV7J/ref=sr_1_17?keywords=Worx+WA3578&qid=1674835940&sr=8-17
";"$77.00
$56.99
$39.59
";"B01N43NDL8
B09SCZRWPK
B07S23KV7J
"
https://www.ebay.com/itm/393657579890?epid=17045087648&hash=item5ba7d1f972:g:5zQAAOSwCQpjYXAa;"WG349 WORX 20V PowerShare 8"" Cordless Pole Saw & Chainsaw with 13"" Reach";US $101.40;8 available;Estimated between Wed, Feb 1 and Tue, Feb 7;WORX;WG349;"https://www.amazon.com/WORX-Attachment-Capable-WG349-Orange/dp/B07W5JX8RP/ref=sr_1_1?keywords=WORX+WG349+0845534020915&qid=1674835938&sr=8-1
";"$127.49
";"B07W5JX8RP
"
